customer_id,age,income,employment_years,loan_amount,loan_tenure,emi,credit_utilization,num_loans,past_due_30,past_due_60,past_due_90,default_flag
1,59,148669,8,1536498,60,28563,1.16,0,2,0,1,1
2,49,17659,31,1751418,48,24150,0.82,5,2,2,0,0
3,35,101516,14,1484497,24,24061,0.23,2,0,1,0,0
4,63,89567,12,316167,12,31178,0.2,5,3,2,0,0
5,28,30037,4,1868222,60,37336,0.28,1,0,1,0,0
6,41,141498,10,787996,36,58790,0.93,4,1,1,0,0
7,59,27109,9,1266383,12,2160,0.39,5,3,1,0,0
8,39,37010,12,1957967,12,17648,0.07,0,1,2,0,0
9,43,23787,14,613506,24,42835,1.14,0,0,0,0,1
10,31,76709,6,979717,24,38672,0.25,1,2,2,0,0
11,31,49518,27,1593311,24,5573,0.06,2,1,1,0,0
12,44,68909,31,565729,60,36593,0.32,5,3,2,0,0
13,56,33351,34,1328342,48,15786,0.32,3,0,1,0,0
14,60,30282,14,864892,12,30500,0.54,2,0,0,0,0
15,44,20075,20,901112,48,11815,1.11,0,0,0,0,1
16,23,43365,5,1129593,48,23966,1.06,5,2,2,0,0
17,42,26002,0,1066040,24,15794,0.58,0,0,0,0,0
18,22,28947,3,404182,48,33423,0.52,4,0,1,1,1
19,44,109840,10,998494,12,35944,0.69,2,2,1,0,0
20,64,131219,25,593803,12,23302,0.33,3,0,0,0,0
21,50,93610,22,1521783,36,23264,0.11,4,0,0,1,1
22,58,67142,28,450850,60,21604,1.13,3,1,0,1,1
23,22,71307,20,258106,48,29835,0.26,4,0,2,1,1
24,41,65085,26,996881,60,9820,0.28,2,2,2,0,0
25,53,49228,12,869433,60,51282,0.59,0,1,1,1,1
26,32,58472,22,1624255,60,57811,0.62,3,0,2,0,0
27,42,64437,15,770566,60,54714,0.07,2,2,2,0,0
28,64,74711,29,1732252,12,3499,0.22,3,3,1,0,0
29,45,92175,3,1402935,48,25814,0.48,2,0,1,1,1
30,47,79307,15,654008,36,26089,0.84,4,3,0,0,0
31,62,61733,30,339258,60,9626,0.31,2,1,0,0,0
32,48,143202,24,1765818,36,57831,0.54,4,2,2,0,0
33,36,110028,11,949574,12,34746,0.69,0,1,1,0,0
34,35,107493,25,722633,12,18137,1.07,4,3,2,1,1
35,64,140149,32,1466926,24,53940,0.42,1,3,2,0,0
36,23,23259,27,1668511,60,23260,0.2,0,3,1,0,0
37,57,143775,8,1574457,24,38476,0.61,5,2,1,0,0
38,27,29849,11,1818828,36,28283,0.91,5,3,1,0,1
39,41,96768,4,616967,48,3769,0.18,2,3,1,0,0
40,29,121108,27,1361147,24,44278,0.54,2,2,2,0,0
41,59,104709,34,1850888,12,48994,0.07,1,3,2,0,0
42,38,69869,4,640555,60,17634,0.09,2,0,2,0,0
43,24,141888,33,50799,36,41499,0.61,0,3,1,0,0
44,45,78095,33,1416379,12,12965,0.39,0,2,0,0,0
45,34,132886,12,1586201,48,29566,1.02,4,3,2,0,0
46,29,85910,13,1629889,60,54196,0.74,3,2,0,1,1
47,46,38567,10,588769,48,35143,0.57,2,3,0,0,0
48,22,50292,3,337555,48,50285,0.52,1,0,0,0,0
49,40,89813,32,1850830,60,57499,0.62,5,2,1,0,0
50,48,112136,6,1728792,60,21420,0.1,0,2,1,0,0
51,27,66631,7,697302,48,27236,1.08,0,2,2,1,1
52,64,24885,9,458177,36,8218,1.2,0,2,2,0,1
53,28,81314,14,1513559,60,51892,0.26,3,3,1,0,0
54,55,80087,14,564111,12,10495,0.19,3,3,1,0,0
55,34,110998,4,1150266,24,35853,0.22,2,0,0,0,0
56,37,64812,28,627158,36,15073,0.81,5,0,1,0,0
57,56,73643,18,1074040,60,13371,0.81,1,3,1,0,0
58,60,59900,9,741495,60,19594,1.03,3,1,1,0,0
59,24,31288,11,136928,36,13226,0.91,4,2,1,1,1
60,22,87692,3,1620497,24,59572,0.57,3,3,0,0,0
61,26,100436,30,784158,48,54271,0.75,0,0,2,1,1
62,62,61403,17,645053,12,12046,0.84,1,2,0,0,0
63,24,106170,15,1384492,60,51419,0.64,2,0,1,0,0
64,49,24168,24,855231,24,53926,0.6,3,1,1,0,0
65,38,64879,22,1472771,12,45809,0.79,0,2,2,0,0
66,46,74871,11,704229,36,39117,0.69,4,1,2,0,0
67,64,47174,33,1122131,60,6965,0.79,4,1,2,0,0
68,54,125155,2,1977160,48,48260,0.75,2,1,0,0,0
69,30,86853,8,1487939,36,15336,0.88,2,3,2,0,0
70,56,79046,17,1496053,60,59277,0.79,3,0,1,0,0
71,34,64678,34,431977,24,21843,0.65,2,2,1,0,0
72,51,41649,33,905434,12,19373,0.83,5,3,1,1,1
73,35,142795,13,358697,12,47452,0.57,5,0,0,0,0
74,28,103668,3,1363808,60,52089,0.33,0,3,2,0,0
75,34,104906,28,1668647,36,8654,0.05,0,0,2,0,0
76,43,111019,14,575403,48,33280,0.69,0,2,2,0,0
77,60,93002,27,1037618,24,58141,0.73,5,2,2,0,0
78,41,43803,15,773486,60,59783,1.17,3,2,1,0,0
79,36,45795,11,122908,24,42110,0.47,3,2,0,0,0
80,38,23770,4,1691973,12,24407,0.5,2,0,2,0,0
81,44,26093,33,1887986,48,4358,0.28,3,3,1,0,0
82,46,146265,0,421087,24,28583,0.13,0,2,1,0,0
83,45,115311,31,59422,60,54497,0.94,1,2,0,0,0
84,61,32569,25,224698,48,30706,0.34,0,2,2,0,0
85,49,26190,16,663521,36,8360,0.75,5,1,0,1,1
86,35,77824,26,892606,60,55968,0.84,1,2,2,0,0
87,21,57070,23,1588148,24,5743,0.59,2,2,0,1,1
88,45,55197,34,1136319,48,9159,1.06,4,0,2,0,0
89,27,17261,25,1824397,60,34151,0.56,3,1,2,0,0
90,29,101795,22,500415,48,2518,0.38,3,0,0,0,0
91,44,43933,21,1491008,48,18652,1.08,5,3,2,1,1
92,21,55583,3,703288,48,14925,1.04,0,1,0,0,0
93,64,127082,8,1483498,24,49578,0.24,0,0,0,0,0
94,28,100371,3,1652294,60,51007,0.08,1,0,2,0,0
95,44,126032,6,78834,12,56596,0.15,3,3,2,1,1
96,31,57604,22,598723,12,7475,0.38,5,3,0,0,0
97,37,110074,1,1185788,24,38953,1.17,2,2,1,0,0
98,28,88869,23,1678661,24,39929,0.69,0,2,0,0,0
99,55,20410,30,486770,48,44348,0.48,3,1,1,0,0
100,55,98375,30,628843,60,11886,1.07,4,1,1,0,0
101,53,111055,33,135350,60,13465,0.57,5,3,0,0,0
102,25,101716,23,64716,36,55017,0.41,1,1,0,0,0
103,62,69245,25,1158837,36,13221,1.13,0,2,0,0,0
104,59,58056,15,995032,12,26395,1.03,0,3,1,0,0
105,61,73557,12,838427,36,4335,1.02,2,0,0,0,0
106,48,32543,14,1645278,36,38442,0.64,0,3,0,0,0
107,27,111038,26,1767780,12,6576,0.96,5,1,2,0,0
108,29,18828,3,742019,12,49740,0.26,3,2,2,0,0
109,28,131656,15,1114098,36,2500,0.71,3,2,2,0,0
110,32,32087,29,1597241,60,28675,1.18,3,0,0,0,0
111,54,46337,29,1490352,36,10083,0.38,4,0,0,0,0
112,53,80333,2,1959042,48,43062,0.96,4,3,0,0,0
113,43,85448,21,1927330,48,17720,0.61,0,2,1,0,0
114,44,19648,21,379782,48,7543,0.1,4,0,1,0,0
